SR_NUM,SOURCE_IDENTIFIER,DATA_SOURCE_NAME,PROTOCOL_NUMBER,SITE_NUM,UNIQUE_SITE_ID,COUNTRY,SITE_NAME,STATE,CITY,POSTAL_CODE,SITE_STATUS,Unnamed: 15,CONCAT_ADDRESS
15079,CDM,PPD,SHP647-303,1-246T7EK,,United_States,baystate medical associates,massachusetts,springfield,1199,,21.0,baystate medical center3300 main street
15089,CDM,PPD,SHP647-304,1-24D0UI9,,United_States,berkshire gastroenterology pc,massachusetts,pittsfield,1201,,31.0,24 charles street
15094,CDM,PPD,C16014,1-E46RV,,United_States,berkshire hematology oncology,massachussets,north adams,1247,,36.0,77 hospital avenue
15096,CDM,PPD,C16014,58147,,United_States,university of massachusetts memorial health care,massachusetts,fitchburg,1420,,38.0,275 nichols roadhealth alliance
15097,CDM,PPD,Pevonedistat-2001,1-D8Y2U0,,United_States,umass memorial medical center,massachusetts,worcester,1605,,39.0,55 lake avenue northdepartment of hematology oncology
15098,CDM,PPD,Pevonedistat-3001,1-16QRYJP,,United_States,university of massachusetts,massachusetts,worcester,1605,,40.0,55 lake avenue north
15099,CDM,PPD,C16014,58047,,United_States,university of massachusetts medical school,massachusetts,worcester,1605,,41.0,281 lincoln street
15100,CDM,PPD,SHP607-202,1-17HMXX9,,United_States,university of massachusetts memorial childrens medical center,massachusetts,worcester,1605,,42.0,119 belmont street
15102,CDM,PPD,NSMM-5001,1-LECJLC,,United_States,reliant medical group,massachusetts,worcester,1608,,44.0,123 summer street
15179,CDM,IQVIA,TED-R13-002,529,1-13YHNGN,United_States,massachusetts general hospital,boston,massachusetts,2114,,121.0,55 fruit st suite 1201warren building
15181,CDM,PRA,TAK-018-2001,58003,1-1MZT64F,United_States,massachusetts general hospital,ma,boston,2114,,123.0,55 fruit street
15182,CDM,PRA,TAK-164-1001,58005,1-1LE5Z2A,United_States,massachusetts general hospital,ma,boston,2114,,124.0,55 fruit streetlawrence house 226
