SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM,CONCAT_ADDRESS
100002,United_States_of_America,603,hosp comunitario buen samaritano,pr,aguadilla,AGUADILLA,(787) 658-0000,Acute Care Hospitals,Voluntary non-profit - Other,78564,carr2 km14 ave severianoseveriano cuevas 18
100003,United_States_of_America,613,hospital dr cayetano coll y toste,pr,arecibo,ARECIBO,(787) 650-7272,Acute Care Hospitals,Proprietary,88452,carretera129 km1 avenida saavenida san luis
100004,United_States_of_America,614,hospital dr susoni inc,pr,arecibo,ARECIBO,(787) 650-1031,Acute Care Hospitals,Voluntary non-profit - Private,37595,55 palm stt
100005,United_States_of_America,623,hospital psiquiatrico metropolitano cabo rojo,pr,bo ballaja,CABO ROJO,(787) 851-2025,Psychiatric,Proprietary,85970,108 munozrivera streetreet
100006,United_States_of_America,631,hospital general de castaner,pr,castaner,LARES,(787) 829-5010,Acute Care Hospitals,Voluntary non-profit - Private,17708,carr 135 kkm 64 2
100007,United_States_of_America,641,hospital metropolitano de la montana,pr,bda nueva,UTUADO,(787) 933-1100,Acute Care Hospitals,Proprietary,41427,calle isaaac gonzalez esquinaz esquina ledesma
100008,United_States_of_America,674,doctors center hospital inc,pr,manati,MANATI,(787) 853-3322,Acute Care Hospitals,Proprietary,77422,marginal ccarretera no 2 km 4no 2 km 47 7
100009,United_States_of_America,674,manati medical center dr otero lopez,pr,manati,MANATI,(787) 621-3700,Acute Care Hospitals,Proprietary,64164,calle hernnandez carrion urb arion urb atenas
100010,United_States_of_America,676,hospital san carlos borromeo,pr,moca,MOCA,(787) 877-8000,Acute Care Hospitals,Voluntary non-profit - Private,12521,calle conccepcion vera ayala ra ayala 550 s
100011,United_States_of_America,681,bella vista hospital,pr,mayaguez,MAYAGUEZ,(787) 652-6045,Acute Care Hospitals,Voluntary non-profit - Church,36154,carr 349 kkm 2 7 cerro las mesro las mesas
100012,United_States_of_America,681,hospital perea,pr,mayaguez,MAYAGUEZ,(787) 834-0101,Acute Care Hospitals,Proprietary,62183,15 dr basoora street
100013,United_States_of_America,682,mayaguez medical center dr ramon emeterio betances,pr,mayaguez,MAYAGUEZ,(787) 652-9200,Acute Care Hospitals,Proprietary,56489,carr 2 bosabalos
100014,United_States_of_America,683,hospital de la concepcion,pr,san german,SAN GERMAN,(787) 892-1860,Acute Care Hospitals,Voluntary non-profit - Church,65388,road numbeer 2 km 1734 cain a34 cain alto
100015,United_States_of_America,683,hospital metropolitano san german,pr,san german,SAN GERMAN,(787) 892-5300,Acute Care Hospitals,Proprietary,51518,calle javiilla  8 al costadol costado parque de bombas
100016,United_States_of_America,693,centro medico wilma n vazquez,pr,vega baja,VEGA BAJA,(787) 858-1580,Acute Care Hospitals,Proprietary,56697,carr 2 kmm 395    road numberoad number 2 bo algarrobo
100017,United_States_of_America,698,hospital metropolitano dr tito mattei,pr,yauco,YAUCO,(787) 856-1000,Acute Care Hospitals,Proprietary,73281,road 128 kkm 10
100018,United_States_of_America,705,centro de salud conductual menonitacima,pr,aibonito,AIBONITO,(787) 714-2462,Psychiatric,Voluntary non-profit - Private,36366,carr estattal 14 interior sargerior sargento gerardo santiago
100019,United_States_of_America,705,mennonite general hospital inc,pr,aibonito,AIBONITO,(787) 535-1001,Acute Care Hospitals,Voluntary non-profit - Private,63207,calle josee c vasquez bo caonz bo caonillas
100020,United_States_of_America,717,hospital damas inc,pr,ponce,PONCE,(787) 840-8460,Acute Care Hospitals,Voluntary non-profit - Private,41539,ponce by ppass 2213
100021,United_States_of_America,725,hima san pablocaguas,pr,caguas,CAGUAS,(787) 653-3434,Acute Care Hospitals,Proprietary,52772,ave luis mmunoz marinn
100022,United_States_of_America,725,hospital menonita caguas inc,pr,caguas,CAGUAS,(787) 744-3141,Acute Care Hospitals,Voluntary non-profit - Private,21958,carr 172exit 21 urb turaborb turabo gardens
100023,United_States_of_America,733,hospital metropolitano dr pila,pr,ponce,PONCE,(787) 848-5600,Acute Care Hospitals,Voluntary non-profit - Private,93675,2435 las aamericas aveve
100024,United_States_of_America,733,inspira behavior care corp,pr,ponce,PONCE,(787) 709-4130,Psychiatric,Proprietary,29934,calle guaddalupe 184 antiguoantiguo hospital san lucas
100025,United_States_of_America,733,san lukes memorial hospital inc,pr,ponce,PONCE,(787) 844-2080,Acute Care Hospitals,Voluntary non-profit - Church,92465,tito castrro ave 9177
100026,United_States_of_America,737,hospital menonita de cayey,pr,cayey,CAYEY,(787) 535-1001,Acute Care Hospitals,Voluntary non-profit - Private,79667,bo rinconn sector las lomasas lomas  km31 carr 14
100027,United_States_of_America,738,caribbean medical center,pr,fajardo,FAJARDO,(787) 801-0081,Acute Care Hospitals,Proprietary,81035,151 ave ossvaldo molinaina
100028,United_States_of_America,738,himasan pablo fajardo,pr,fajardo,FAJARDO,(787) 655-0505,Acute Care Hospitals,Proprietary,84336,general vaalero ave404404
