SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM,CONCAT_ADDRESS
102400,United_States_of_America,49930,up health system portage,mi,hancock,HOUGHTON,(906) 483-1000,Acute Care Hospitals,Voluntary non-profit - Other,82245,500 campuss drive
102401,United_States_of_America,49935,aspirus iron river hospital  clinics inc,mi,iron river,IRON,(906) 265-6121,Critical Access Hospitals,Voluntary non-profit - Other,61150,1400 w icee lake roadd
102402,United_States_of_America,49938,aspirus ironwood hospital,mi,ironwood,GOGEBIC,(906) 932-2525,Critical Access Hospitals,Voluntary non-profit - Private,42098,n10561 graand view laneane
102403,United_States_of_America,49946,baraga county memorial hospital,mi,l anse,BARAGA,(906) 524-3300,Critical Access Hospitals,Government - Local,71405,18341 us hhighway 41
102404,United_States_of_America,49953,aspirus ontonagon hospital inc,mi,ontonagon,ONTONAGON,(906) 884-8000,Critical Access Hospitals,Government - Local,35930,601 s seveenth st
102405,United_States_of_America,50010,mary greeley medical center,ia,ames,STORY,(515) 239-2011,Acute Care Hospitals,Voluntary non-profit - Private,26414,1111 duffavenue
102406,United_States_of_America,50022,cass county memorial hospital,ia,atlantic,CASS,(712) 243-3250,Critical Access Hospitals,Government - Local,86184,1501 easttenth streeteet
102407,United_States_of_America,50025,audubon county memorial hospital,ia,audubon,AUDUBON,(712) 563-2611,Critical Access Hospitals,Government - Local,68617,515 pacifiic avenue
102408,United_States_of_America,50036,boone county hospital,ia,boone,BOONE,(515) 432-3140,Critical Access Hospitals,Government - Local,54497,1015 unionn street
102409,United_States_of_America,50049,lucas county health center,ia,chariton,LUCAS,(641) 774-3000,Critical Access Hospitals,Voluntary non-profit - Other,29812,1200 northh 7th streetet
102410,United_States_of_America,50060,wayne county hospital,ia,corydon,WAYNE,(641) 872-2260,Critical Access Hospitals,Government - Local,18033,417 southeast streetet
102411,United_States_of_America,50112,grinnell regional medical center,ia,grinnell,POWESHIEK,(641) 236-7511,Acute Care Hospitals,Voluntary non-profit - Private,51511,210 fourthh avenue
102413,United_States_of_America,50126,hansen family hospital,ia,iowa falls,HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local,16679,920 southoak streett
102414,United_States_of_America,50129,greene county medical center,ia,jefferson,GREENE,(515) 386-2114,Critical Access Hospitals,Government - Local,48258,1000 westlincolnwayy
102415,United_States_of_America,50138,knoxville hospital  clinics,ia,knoxville,MARION,(641) 842-2151,Critical Access Hospitals,Voluntary non-profit - Private,70465,1002 southh lincoln streetstreet
102416,United_States_of_America,50144,decatur county hospital,ia,leon,DECATUR,(641) 446-4871,Critical Access Hospitals,Government - Local,34318,1405 nw chhurch streetet
102417,United_States_of_America,50158,unitypoint healthmarshalltown,ia,marshalltown,MARSHALL,(641) 754-5151,Acute Care Hospitals,Voluntary non-profit - Private,34147,3 s 4th avve
102419,United_States_of_America,50208,skiff medical center,ia,newton,JASPER,(641) 792-1273,Acute Care Hospitals,Voluntary non-profit - Private,52041,204 n 4thave e
102420,United_States_of_America,50213,clarke county hospital,ia,osceola,CLARKE,(641) 342-2184,Critical Access Hospitals,Voluntary non-profit - Other,10215,800 s filllmore st
102421,United_States_of_America,50219,pella regional health center,ia,pella,MARION,(641) 628-3150,Critical Access Hospitals,Voluntary non-profit - Private,89445,404 jefferrson streett
